model,outer_fold,scale_mult,weights,alpha,cv_MAE,cv_MAE_sd,MAE,RMSE,R2,Spearman_rho
total_wasserstein,5,0.25,"(1.0,)",0.1,1.913878561977569,0.5209927493806742,2.5057440131230813,3.06719387940043,-0.30729471371818806,0.229759302799348
static_plus_li_wasserstein,1,0.5,"(0.8, 0.2)",0.1,1.648480869025454,0.24686760353606693,1.5081306883274828,1.7269707666990102,0.08535235887726011,0.06765583121067512
static_plus_li_wasserstein,2,0.5,"(0.6, 0.4)",0.1,1.5783889447721648,0.46237814323907517,1.4465295753175824,2.0236661499363144,0.17769108778805087,0.5665294668656524
static_plus_li_wasserstein,3,0.5,"(0.6, 0.4)",0.004641588833612777,1.44004263020001,0.36615381842162137,1.5780028046342218,2.0505969546809864,0.48273087477988463,0.7344319827921285
static_plus_li_wasserstein,4,0.5,"(0.8, 0.2)",0.1,1.3837559237007855,0.3277454200317938,1.9789463321756766,3.1225053394484816,0.4793480664633163,0.8535592583401074
static_plus_li_wasserstein,5,0.5,"(0.0, 1.0)",0.1,1.6897430815225791,0.370338924147588,1.8841695655045978,2.3821764587539254,0.21143244519091542,0.5061188169248423
static_plus_total_wasserstein,1,0.5,"(1.0, 0.0)",0.1,1.6604676544808592,0.33447863979051046,1.7471936067276808,1.9616391822952934,-0.18010894358565266,0.015101748038097126
static_plus_total_wasserstein,2,0.5,"(0.8, 0.2)",0.1,1.7004939717017933,0.4224478544983578,1.4727021568670824,1.9958198902223392,0.20016582677496964,0.5089599529175449
static_plus_total_wasserstein,3,0.5,"(0.6, 0.4)",9.999999999999999e-06,1.751786532799946,0.5244237108380452,1.774596152643697,2.3985302394373478,0.2923046577904357,0.7114573663310452
static_plus_total_wasserstein,4,0.5,"(1.0, 0.0)",0.004641588833612777,1.443534487375711,0.35738938215406657,2.370104136807491,3.6409951633059543,0.29208468125928044,0.7063626015371213
static_plus_total_wasserstein,5,0.5,"(0.19999999999999996, 0.8)",0.00021544346900318823,1.771092394429179,0.32101969325378593,2.1151818314134254,2.726727409967293,-0.03317644170287193,0.4850474170208457
static_plus_li_plus_total,1,0.5,"(1.0, 0.0, 0.0)",0.1,1.6604676544808592,0.33447863979051046,1.7471936067276808,1.9616391822952934,-0.18010894358565266,0.015101748038097126
static_plus_li_plus_total,2,0.5,"(0.75, 0.25, 0.0)",0.1,1.581557485045877,0.450884470128865,1.4322222928160364,1.9729589951762634,0.21838410775893657,0.5887997788403151
static_plus_li_plus_total,3,0.5,"(0.5, 0.25, 0.25)",0.004641588833612777,1.4139378738261938,0.36964393932594775,1.647266386320575,2.1104887397128054,0.4520738603834601,0.7238515673166296
static_plus_li_plus_total,4,0.5,"(0.5, 0.25, 0.25)",0.004641588833612777,1.3564109685888177,0.32577342373949725,2.069785506356189,3.1853463252273597,0.4581807614803092,0.8485721026168027
static_plus_li_plus_total,5,1.0,"(0.0, 0.5, 0.5)",0.004641588833612777,1.5191823510097417,0.23411297693395083,1.9985871048534176,2.446667723880875,0.16815763859308064,0.698030643742781
