scale_mult,weights,alpha,cv_MAE,cv_MAE_sd,model,search_scope
0.25,"(1.0,)",2.154434690031882,2.0307959002968397,0.2654262655898927,static_rbf,outer_fold_4
0.25,"(1.0,)",46.41588833612773,2.3723828339241706,0.4765501201332982,static_rbf,outer_fold_4
0.25,"(1.0,)",1000.0,2.4223112264594207,0.49305642245433,static_rbf,outer_fold_4
0.5,"(1.0,)",9.999999999999999e-06,5.242856819702129,2.678027154247701,static_rbf,outer_fold_4
0.5,"(1.0,)",0.00021544346900318823,1.696718682035694,0.552430691197642,static_rbf,outer_fold_4
0.5,"(1.0,)",0.004641588833612777,1.443534487375711,0.35738938215406657,static_rbf,outer_fold_4
0.5,"(1.0,)",0.1,1.4549240146203426,0.29152742873915044,static_rbf,outer_fold_4
0.5,"(1.0,)",2.154434690031882,1.8425936039949227,0.10046855816365509,static_rbf,outer_fold_4
0.5,"(1.0,)",46.41588833612773,2.3378477848096235,0.42795890288838895,static_rbf,outer_fold_4
0.5,"(1.0,)",1000.0,2.420248978323066,0.49042884548206367,static_rbf,outer_fold_4
1.0,"(1.0,)",9.999999999999999e-06,4.241915498627883,2.5848713368643264,static_rbf,outer_fold_4
1.0,"(1.0,)",0.00021544346900318823,2.1624974736249336,0.7604546498212728,static_rbf,outer_fold_4
1.0,"(1.0,)",0.004641588833612777,1.7006811494099976,0.6900959836784568,static_rbf,outer_fold_4
1.0,"(1.0,)",0.1,1.57063188114105,0.36595148951412704,static_rbf,outer_fold_4
1.0,"(1.0,)",2.154434690031882,1.9901581480108321,0.19607984844616835,static_rbf,outer_fold_4
1.0,"(1.0,)",46.41588833612773,2.372338702204712,0.46218529960377214,static_rbf,outer_fold_4
1.0,"(1.0,)",1000.0,2.422450958025189,0.49215240453196313,static_rbf,outer_fold_4
2.0,"(1.0,)",9.999999999999999e-06,4.635553850418059,2.360487087089328,static_rbf,outer_fold_4
2.0,"(1.0,)",0.00021544346900318823,2.7931979642866662,1.5406493510700305,static_rbf,outer_fold_4
2.0,"(1.0,)",0.004641588833612777,2.00764342475317,0.8565690432398563,static_rbf,outer_fold_4
2.0,"(1.0,)",0.1,1.7792134719540473,0.28823737883300543,static_rbf,outer_fold_4
2.0,"(1.0,)",2.154434690031882,2.2227395040135285,0.3425682767949262,static_rbf,outer_fold_4
2.0,"(1.0,)",46.41588833612773,2.4101744312835383,0.4849520990984361,static_rbf,outer_fold_4
2.0,"(1.0,)",1000.0,2.4244185540740606,0.49327264114819375,static_rbf,outer_fold_4
4.0,"(1.0,)",9.999999999999999e-06,5.4562963412012655,3.8349413162529293,static_rbf,outer_fold_4
4.0,"(1.0,)",0.00021544346900318823,3.281878006032075,2.024201064366489,static_rbf,outer_fold_4
4.0,"(1.0,)",0.004641588833612777,1.938134623674188,0.5780564355357709,static_rbf,outer_fold_4
4.0,"(1.0,)",0.1,1.963798799098722,0.18286110787680268,static_rbf,outer_fold_4
4.0,"(1.0,)",2.154434690031882,2.3518057175633715,0.45335373056292344,static_rbf,outer_fold_4
4.0,"(1.0,)",46.41588833612773,2.4214525527661865,0.4915218827263344,static_rbf,outer_fold_4
4.0,"(1.0,)",1000.0,2.4249450806050787,0.49359364098241515,static_rbf,outer_fold_4
0.25,"(1.0,)",9.999999999999999e-06,2.256439433044452,0.5068656698543038,static_rbf,outer_fold_5
0.25,"(1.0,)",0.00021544346900318823,2.310490071139068,0.3468127447111942,static_rbf,outer_fold_5
0.25,"(1.0,)",0.004641588833612777,2.310196487929267,0.4146003203282378,static_rbf,outer_fold_5
0.25,"(1.0,)",0.1,2.349432925477281,0.4588335928060257,static_rbf,outer_fold_5
0.25,"(1.0,)",2.154434690031882,2.510527463476748,0.524537756877491,static_rbf,outer_fold_5
0.25,"(1.0,)",46.41588833612773,2.691116603363858,0.6878650238750253,static_rbf,outer_fold_5
0.25,"(1.0,)",1000.0,2.7426818119172505,0.711992401119433,static_rbf,outer_fold_5
