split,representation,bin_width_THz,feature,bin_low_THz,bin_high_THz,bin_center_THz,n,transform,pearson_r,pearson_ci95_low,pearson_ci95_high,pearson_p_analytic,pearson_p_fdr,pearson_p_permutation,pearson_p_maxT,spearman_rho,spearman_ci95_low,spearman_ci95_high,spearman_p_analytic,spearman_p_fdr,spearman_p_permutation,spearman_p_maxT,mutual_information,mi_p_permutation,mi_p_maxT,distance_correlation,linear_cv_R2,spline_cv_R2,nonlinear_spline_gain_R2
train,total_area,2.0,totalDOS_042.00_044.00THz,42.0,44.0,43.0,214,log1p,-0.04064164538364625,-0.17696601,0.05872238,0.5543205918024863,0.5925495981336922,0.5764847030593881,1.0,-0.11482963838487516,-0.2210128,0.023575826,0.09383201983109725,0.16464795995488177,0.09458108378324336,0.7406518696260748,,,,,,,
train,total_area,2.0,totalDOS_044.00_046.00THz,44.0,46.0,45.0,214,log1p,-0.020862849847383624,-0.13254522,0.0640132,0.7615525003393238,0.7735602252440835,0.7694461107778444,1.0,-0.0605602433604821,-0.15639351,0.04468625,0.37802523333777094,0.4655222642949766,0.393121375724855,0.9994001199760048,,,,,,,
train,total_area,2.0,totalDOS_046.00_048.00THz,46.0,48.0,47.0,214,log1p,-0.019782147276913742,-0.04264164,0.0,0.7735602252440835,0.7735602252440835,0.8038392321535693,1.0,-0.03939951316048853,-0.073092885,0.0,0.5665010787455729,0.585384448037092,0.6714657068586283,1.0,,,,,,,
train,total_area,2.0,totalDOS_048.00_050.00THz,48.0,50.0,49.0,214,log1p,-0.05221765177990874,-0.1489948,0.0,0.44730056988781974,0.5573453162494184,0.47630473905218956,0.9998000399920016,-0.10258667805878177,-0.17016548,0.0,0.13468660749070713,0.18978567419145095,0.13597280543891221,0.8744251149770046,,,,,,,
train,total_area,2.0,totalDOS_050.00_052.00THz,50.0,52.0,51.0,214,log1p,-0.08113660614963639,-0.1519646,-0.01839284,0.23723576512778632,0.44147352141812046,0.2391521695660868,0.9808038392321535,-0.11118591821560646,-0.17643496,-0.039332777,0.1047997912327082,0.16464795995488177,0.10157968406318736,0.7888422315536893,,,,,,,
train,total_area,2.0,totalDOS_052.00_054.00THz,52.0,54.0,53.0,214,log1p,-0.05203879823710524,-0.094480805,0.0,0.4488601616721093,0.5573453162494184,0.46230753849230155,0.9998000399920016,-0.07162646443953473,-0.121187955,0.0,0.2969444733924787,0.40022950761594955,0.32833433313337335,0.9954009198160368,,,,,,,
train,total_area,2.0,totalDOS_054.00_056.00THz,54.0,56.0,55.0,214,log1p,-0.045986330939693176,-0.09012669,0.0,0.5034086727414102,0.5573453162494184,0.5734853029394121,1.0,-0.05715704021873688,-0.10736944,0.0,0.4054548753536893,0.4655222642949766,0.51749650069986,0.9994001199760048,,,,,,,
train,total_area,2.0,totalDOS_056.00_058.00THz,56.0,58.0,57.0,214,log1p,-0.04598633093969317,-0.09012669,0.0,0.5034086727414102,0.5573453162494184,0.5734853029394121,1.0,-0.05715704021873688,-0.10736944,0.0,0.4054548753536893,0.4655222642949766,0.51749650069986,0.9994001199760048,,,,,,,
train,total_area,2.0,totalDOS_086.00_088.00THz,86.0,88.0,87.0,214,log1p,0.04662892459901869,0.0,0.08529604,0.4974569872377652,0.5573453162494184,0.5750849830033993,1.0,0.043838894925050616,0.0,0.08373906,0.5235658374123289,0.5596738261993861,0.6222755448910218,1.0,,,,,,,
train,total_area,2.0,totalDOS_090.00_092.00THz,90.0,92.0,91.0,214,log1p,0.046628924599018705,0.0,0.08529604,0.4974569872377651,0.5573453162494184,0.5752849430113978,1.0,0.043838894925050616,0.0,0.08373906,0.5235658374123289,0.5596738261993861,0.6222755448910218,1.0,,,,,,,
